"","dolcan","cpiUSA","cpiCAN"
"77",1.1556,46.91,45.3
"78",1.1724,47.45,45.51
"79",1.1639,47.96,45.87
"80",1.1706,48.44,46.04
"81",1.1653,48.94,46.44
"82",1.1754,49.38,46.78
"83",1.1797,49.84,47.23
"84",1.17,50.37,47.52
"85",1.164,51.09,47.78
"86",1.1555,51.79,48.19
"87",1.1731,52.54,48.71
"88",1.1861,53.13,49
"89",1.1741,53.65,49.57
"90",1.1516,54.25,50.12
"91",1.1523,54.29,50.5
"92",1.1592,54.64,50.98
"93",1.1647,55.14,51.43
"94",1.1691,55.63,51.89
"95",1.1864,56.13,52.53
"96",1.1968,56.61,52.84
"97",1.1909,57.07,53.55
"98",1.1984,57.66,54.08
"99",1.1914,58.08,54.75
"100",1.191,58.45,55.2
"101",1.201,58.93,55.65
"102",1.2041,59.44,56.55
"103",1.2107,60.12,57
"104",1.2232,60.58,57.45
"105",1.2008,61.19,57.9
"106",1.2029,61.32,58.42
"107",1.1872,61.5,58.95
"108",1.1851,61.67,59.25
"109",1.1926,61.89,59.62
"110",1.214,62.09,60.37
"111",1.2205,62.02,61.12
"112",1.2252,62.29,61.42
"113",1.2336,62.9,62.32
"114",1.2756,63.67,62.92
"115",1.27,64.02,63.22
"116",1.2452,64.15,63.52
"117",1.2348,64.26,63.89
"118",1.2301,64.43,64.27
"119",1.2262,64.32,64.72
"120",1.2385,64.06,64.72
"121",1.2287,64.21,64.57
"122",1.2277,64.24,64.86
"123",1.2263,64.28,65.54
"124",1.2325,64.74,65.54
"125",1.2292,65.09,65.69
"126",1.2323,65.31,66.44
"127",1.2323,65.57,66.66
"128",1.2338,65.79,67.04
"129",1.2326,66.12,67.04
"130",1.232,66.3,67.41
"131",1.2367,66.41,67.41
"132",1.2469,66.49,67.64
"133",1.2484,66.87,68.01
"134",1.248,67.17,68.39
"135",1.2697,67.33,68.54
"136",1.2796,67.65,68.76
"137",1.2944,67.85,68.83
"138",1.304,68.07,69.13
"139",1.3238,68.29,69.51
"140",1.3035,68.57,69.51
"141",1.3145,68.9,69.58
"142",1.319,69.08,69.73
"143",1.3168,69.08,70.18
"144",1.3201,69.12,70.18
"145",1.324,69.25,70.48
"146",1.3547,69.54,70.93
"147",1.384,69.84,71.08
"148",1.3658,70.13,71.38
"149",1.3756,70.39,71.53
"150",1.3676,70.61,71.98
"151",1.3526,70.72,72.21
"152",1.3575,70.87,72.28
"153",1.3703,71.09,72.43
"154",1.3667,71.31,72.65
"155",1.3765,71.55,72.95
"156",1.3955,71.73,73.25
"157",1.407,71.95,73.63
"158",1.4043,71.75,73.85
"159",1.4009,71.42,74.08
"160",1.3879,71.27,74.15
"161",1.3757,71.49,74.53
"162",1.3899,71.84,74.6
"163",1.3808,71.86,75.2
"164",1.3885,71.99,75.43
"165",1.3873,72.34,75.43
"166",1.3885,72.41,75.8
"167",1.3863,72.47,76.18
"168",1.3801,72.54,76.32
"169",1.3606,72.98,76.47
"170",1.334,73.26,76.85
"171",1.3194,73.59,77.15
"172",1.3192,73.99,77.52
"173",1.3411,74.2,77.97
"174",1.3387,74.51,78.2
"175",1.3262,74.66,78.72
"176",1.3256,75.08,78.8
"177",1.3154,75.45,78.8
"178",1.3097,75.65,79.1
"179",1.3167,75.76,79.4
"180",1.3075,75.73,79.47
"181",1.2855,75.93,79.62
"182",1.2682,76.12,79.92
"183",1.2492,76.45,80.37
"184",1.2353,76.85,80.59
"185",1.2373,77.11,81.12
"186",1.2176,77.44,81.27
"187",1.2075,77.76,81.72
"188",1.2237,78.09,81.94
"189",1.2267,78.62,82.02
"190",1.2055,78.88,82.39
"191",1.2186,78.95,82.62
"192",1.1962,79.08,82.62
"193",1.1913,79.47,83.07
"194",1.1891,79.8,83.59
"195",1.1954,80.26,84.04
"196",1.1888,80.78,84.26
"197",1.1925,81.24,85.16
"198",1.1986,81.44,85.61
"199",1.1891,81.64,86.14
"200",1.1758,81.77,86.21
"201",1.1828,82.03,86.36
"202",1.1749,82.42,86.66
"203",1.1697,82.62,86.96
"204",1.1613,82.75,86.89
"205",1.172,83.6,87.64
"206",1.1965,84,88.16
"207",1.18,84.46,88.46
"208",1.1641,84.59,88.46
"209",1.1747,84.79,88.91
"210",1.173,85.25,89.28
"211",1.157,85.57,89.73
"212",1.1448,86.36,89.81
"213",1.1583,87.08,90.03
"214",1.16,87.61,90.78
"215",1.1635,87.8,91.31
"216",1.1603,87.8,91.23
"217",1.156,88.33,93.63
"218",1.1549,88.46,93.63
"219",1.1572,88.59,94
"220",1.1535,88.72,94
"221",1.1499,88.99,94.45
"222",1.1439,89.25,94.9
"223",1.1493,89.38,94.98
"224",1.1452,89.64,95.05
"225",1.137,90.04,94.9
"226",1.1279,90.17,94.75
"227",1.1302,90.43,95.13
"228",1.1467,90.5,94.68
"229",1.1571,90.63,95.13
"230",1.1825,90.95,95.2
"231",1.1928,91.41,95.5
"232",1.1874,91.55,95.57
"233",1.1991,91.68,95.72
"234",1.196,92,95.95
"235",1.1924,92.2,96.17
"236",1.1907,92.46,96.17
"237",1.2225,92.73,96.1
"238",1.2453,93.05,96.25
"239",1.2674,93.19,96.7
"240",1.2725,93.12,96.7
"241",1.2779,93.58,97.07
"242",1.2602,93.91,97.37
"243",1.2471,94.24,97.3
"244",1.2621,94.5,97.3
"245",1.2698,94.63,97.45
"246",1.2789,94.76,97.52
"247",1.282,94.76,97.75
"248",1.308,95.02,97.82
"249",1.3215,95.22,97.9
"250",1.3263,95.61,98.05
"251",1.3174,95.68,98.5
"252",1.3308,95.68,98.35
"253",1.3173,95.94,98.35
"254",1.3424,96.27,97.6
"255",1.3644,96.6,97.45
"256",1.383,96.73,97.52
"257",1.3808,96.8,97.3
"258",1.3836,97.12,97.52
"259",1.3826,97.39,97.9
"260",1.3783,97.78,97.97
"261",1.354,98.04,98.05
"262",1.3503,98.11,97.9
"263",1.3647,98.24,98.42
"264",1.3893,98.24,98.57
"265",1.4132,98.63,98.94
"266",1.4005,99.03,99.42
"267",1.4077,99.35,99.61
"268",1.3762,99.68,99.9
"269",1.3609,99.88,100.18
"270",1.3775,100.08,100.18
"271",1.3612,100.08,100.38
"272",1.3552,100.34,100.18
"273",1.3509,100.54,100.28
"274",1.3458,100.86,100.18
"275",1.3534,100.8,100.47
"276",1.3693,100.73,100.28
"277",1.3669,101.32,100.57
"278",1.3752,101.65,100.66
"279",1.3656,102.18,101.05
"280",1.3592,102.57,101.34
"281",1.3693,102.77,101.62
"282",1.3658,102.83,101.62
"283",1.3697,103.03,101.62
"284",1.3722,103.23,101.62
"285",1.3694,103.56,101.82
"286",1.3508,103.88,102.01
"287",1.3381,104.08,102.49
"288",1.3622,104.08,102.49
"289",1.3494,104.41,102.68
"290",1.3556,104.74,102.87
"291",1.3725,105,103.06
"292",1.3942,105.13,103.06
"293",1.3804,105.06,103.16
"294",1.3843,105.2,103.35
"295",1.3775,105.33,103.35
"296",1.3905,105.52,103.54
"297",1.3872,105.79,103.45
"298",1.3869,106.05,103.54
"299",1.4128,105.98,103.35
"300",1.4271,105.85,103.26
"301",1.4409,106.05,103.83
"302",1.4334,106.25,103.93
"303",1.4166,106.44,104.02
"304",1.4298,106.64,103.93
"305",1.4452,106.84,104.28
"306",1.4655,106.97,104.46
"307",1.4869,107.1,104.41
"308",1.5346,107.23,104.41
"309",1.5218,107.36,104.12
"310",1.5452,107.62,104.57
"311",1.5404,107.62,104.66
"312",1.5433,107.56,104.29
"313",1.5194,107.82,104.58
"314",1.4977,107.95,104.5
"315",1.5176,108.28,105.08
"316",1.4881,109.07,105.65
"317",1.4611,109.07,105.85
"318",1.4695,109.07,106.04
"319",1.489,109.4,106.33
"320",1.4932,109.66,106.61
"321",1.4771,110.18,106.9
"322",1.4776,110.38,107
"323",1.4674,110.45,106.9
"324",1.4722,110.45,107
